120,Allen Army Airfield,Delta Junction Ft Greely,US
121,Alma Airport,Alma,CA
122,Almaty Airport,Almaty,KZ
123,Almaza Air Force Base,Cairo,EG
124,Almería International Airport,Almería,ES
125,Almirante Marco Andres Zar Airport,Rawson,AR
126,Almirante Padilla Airport,Riohacha,CO
127,Alonso Valderrama Airport,Chitré,PA
128,Alpena County Regional Airport,Alpena,US
129,Alpha Airport,Alpha,AU
130,Alpnach Air Base,Alpnach,CH
131,Alta Airport,Alta,NO
132,Altai Airport,Altai,MN
133,Altamira Airport,Altamira,BR
134,Altay Air Base,Altay,CN
135,Altenburg-Nobitz Airport,Altenburg,DE
136,Altoona Blair County Airport,Altoona,US
137,Altus Air Force Base,Altus,US
138,Alverca Airport,Vila Franca de Xira,PT
139,Amado Nervo National Airport,Tepic,MX
140,Amami Airport,Amami,JP
141,Ämari Air Base,Keila,EE
142,Ambalabe Airport,Antsohihy,MG
143,Ambérieu Air Base (BA 278),Ambérieu,FR
144,Ambler Airport,Ambler,US
145,Amboseli Airport,Amboseli National Park,KE
146,Amderma Airport,Amderma,RU
147,Amendola Air Base,Foggia,IT
148,Amiens-Glisy Airport,Amiens/Glisy,FR
149,Amílcar Cabral International Airport,Espargos,CV
150,Amman-Marka International Airport,Amman,JO
151,Amos Magny Airport,Amos,CA
152,Ampara Airport,Ampara,LK
153,Amsterdam Airport Schiphol,Amsterdam,NL
154,Anaco Airport,Anaco,VE
155,Anadolu Airport,Eski?ehir,TR
156,Anaktuvuk Pass Airport,Anaktuvuk Pass,US
157,Anapa Vityazevo Airport,Anapa,RU
158,Ancona Falconara Airport,Ancona,IT
159,Andersen Air Force Base,"Andersen, Mariana Island",GU
160,Anderson Regional Airport,Anderson,US
161,Andøya Airport,Andenes,NO
162,Andravida Air Base,Andravida,GR
163,Andreapol Air Base,Andreapol,RU
164,Andrews Air Force Base,Camp Springs,US
165,Angads Airport,Oujda,MA
166,Angel Albino Corzo International Airport,Tuxtla Gutiérrez,MX
167,Angel S Adami Airport,Montevideo,UY
168,Ängelholm-Helsingborg Airport,Ängelholm,SE
169,Angelina County Airport,Lufkin,US
170,Angers-Loire Airport,Angers/Marcé,FR
171,Anglesey Airport,Angelsey,GB
172,Angoulême-Brie-Champniers Airport,Angoulême/Brie/Champniers,FR
173,Aniak Airport,Aniak,US
174,Annecy-Haute-Savoie-Mont Blanc Airport,Annecy/Meythet,FR
175,Annemasse Airport,Annemasse,FR
176,Annette Island Airport,Annette,US
177,Anniston Metropolitan Airport,Anniston,US
178,Anqing Tianzhushan Airport,Anqing,CN
179,Anshan Air Base,Anshan,CN
180,Anshun Huangguoshu Airport,Anshun,CN
181,Antalya International Airport,Antalya,TR
182,Antonio B. Won Pat International Airport,"Hagåtña, Guam International Airport",GU
183,Antonio Maceo International Airport,Santiago,CU
184,Antonio Narino Airport,Pasto,CO
185,Antonio Nery Juarbe Pol Airport,Arecibo,PR
186,Antonio Roldan Betancourt Airport,Carepa,CO
187,Antwerp International Airport (Deurne),Antwerp,BE
188,Anuradhapura Air Force Base,Anuradhapura,LK
189,Anvik Airport,Anvik,US
190,Aomori Airport,Aomori,JP
191,Aosta Airport,Aosta,IT
192,Aqaba King Hussein International Airport,Aqaba,JO
193,Araçatuba Airport,Araçatuba,BR
194,Arad International Airport,Arad,RO
195,Araguaína Airport,Araguaína,BR
196,Arandis Airport,Arandis,NA
197,Arar Domestic Airport,Arar,SA
198,Araraquara Airport,Araraquara,BR
199,Araxos Airport,Patras,GR
200,Arcachon-La Teste-de-Buch Airport,Arcachon/La Teste-de-Buch,FR
201,Arcata Airport,Arcata/Eureka,US
202,Arctic Village Airport,Arctic Village,US
203,Ardabil Airport,Ardabil,IR
204,Ardmore Airport,Manurewa,NZ
205,Åre Östersund Airport,Östersund,SE
206,Area De Material Airport,Rio Cuarto,AR
207,Argyle International Airport,Kingstown,VC
208,Arkansas International Airport,Blytheville,US
209,Armidale Airport,Armidale,AU
210,Armilla Air Base,Armilla,ES
211,Armstrong Airport,Armstrong,CA
212,Arnold Palmer Regional Airport,Latrobe,US
213,Arthur's Town Airport,Arthur's Town,BS
214,Arturo Michelena International Airport,Valencia,VE
215,Arua Airport,Arua,UG
216,Arusha Airport,Arusha,TZ
217,Arvaikheer Airport,Arvaikheer,MN
218,Arviat Airport,Arviat,CA
219,Arvidsjaur Airport,Arvidsjaur,SE
220,Arxan Yi'ershi Airport,Arxan,CN
221,Asaba International Airport,Asaba,NG
222,Asahikawa Airport,Asahikawa / Hokkaid?,JP
223,Asheville Regional Airport,Asheville,US
224,Ashgabat Airport,Ashgabat,TM
225,Asmara International Airport,Asmara,ER
226,Asosa Airport,Asosa,ET
227,Aspen-Pitkin Co/Sardy Field,Aspen,US
228,Assab International Airport,Asab,ER
229,Assiut International Airport,Assiut,EG
230,Astana International Airport,Astana,KZ
231,Ástor Piazzola International Airport,Mar del Plata,AR
232,Astoria Regional Airport,Astoria,US
233,Astrakhan Airport,Astrakhan,RU
234,Asturias Airport,Ranón,ES
235,Aswan International Airport,Aswan,EG
236,Atar International Airport,Atar,MR
237,Atatürk International Airport,Istanbul,TR
238,Athens Ben Epps Airport,Athens,US
239,Atikokan Municipal Airport,Atikokan,CA
240,Atlantic City International Airport,Atlantic City,US
241,Atlas Brasil Cantanhede Airport,Boa Vista,BR
242,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US
243,Attawapiskat Airport,Attawapiskat,CA
244,Atyrau Airport,Atyrau,KZ
245,Aubenas-Ardèche Méridional Airport,Aubenas/Ardèche Méridional,FR
246,Auch-Lamothe Airport,Auch/Lamothe,FR
247,Auckland International Airport,Auckland,NZ
248,Augsburg Airport,Augsburg,DE
249,Augusta Regional At Bush Field,Augusta,US
250,Augusta State Airport,Augusta,US
251,Augusto C. Sandino (Managua) International Airport,Managua,NI
252,Augusto Severo Airport,Natal,BR
253,Aupaluk Airport,Aupaluk,CA
254,Aurangabad Airport,Aurangabad,IN
255,Aurillac Airport,Aurillac,FR
256,Aurora State Airport,Aurora,US
257,Austin Bergstrom International Airport,Austin,US
258,Austin Straubel International Airport,Green Bay,US
259,Auxerre-Branches Airport,Auxerre/Branches,FR
260,Avalon Airport,Melbourne,AU
261,Aviador C. Campos Airport,Chapelco/San Martin de los Andes,AR
262,Aviano Air Base,Aviano (PN),IT
263,Avignon-Caumont Airport,Avignon/Caumont,FR
264,Avord (BA 702) Air Base,Avord,FR
265,Awang Airport,Cotabato City,PH
266,Ayaguz Airport,Ayaguz,KZ
267,Ayers Rock Connellan Airport,Ayers Rock,AU
268,Babelthuap Airport,Babelthuap Island,PW
269,Babo Airport,Babo-Papua Island,ID
270,Babruisk Air Base,Babruisk,BY
271,Bacacheri Airport,Curitiba,BR
272,Bac?u Airport,Bac?u,RO
273,Bachigualato Federal International Airport,Culiacán,MX
274,Bacolod-Silay City International Airport,Bacolod City,PH
275,Bada Air Base,Bada,RU
276,Badajoz Airport,Badajoz,ES
277,Badr Air Base,Esfahan,IR
278,Bafoussam Airport,Bafoussam,CM
279,Bagay-Baranovka Air Base,Sennoy,RU
280,Bagdogra Airport,Siliguri,IN
281,Baghdad International Airport,Baghdad,IQ
282,Bagram Air Base,Bagram,AF
283,Bahawalpur Airport,Bahawalpur,PK
284,Bahia - Jorge Amado Airport,Ilhéus,BR
285,Bahías de Huatulco International Airport,Huatulco,MX
286,Bahir Dar Airport,Bahir Dar,ET
287,Bahrain International Airport,Manama,BH
288,Baie Comeau Airport,Baie-Comeau,CA
