El Caraño Airport,Quibdó,CO-CHO
El Centro Naf Airport,El Centro,US-CA
El Dorado Airport,Bolivar,VE-F
El Dorado International Airport,Bogota,CO-CUN
El Eden Airport,Armenia,CO-QUI
El Embrujo Airport,Providencia,CO-SAP
El Fasher Airport,El Fasher,SD-02
El Gora Airport,El Gora,EG-SIN
El Lencero Airport,Xalapa,MX-VER
El Loa Airport,Calama,CL-AN
El Nouzha Airport,Alexandria,EG-ALX
El Obeid Airport,Al-Ubayyid,SD-09
El Palomar Airport,El Palomar,AR-B
El Paso International Airport,El Paso,US-TX
El Plumerillo Airport,Mendoza,AR-M
El Tajín National Airport,Poza Rica,MX-VER
El Tehuelche Airport,Puerto Madryn,AR-U
El Tepual Airport,Puerto Montt,CL-LL
El Trompillo Airport,Santa Cruz,BO-S
El Yopal Airport,El Yopal,CO-CAS
Elaz?? Airport,Elaz??,TR-23
Elcho Island Airport,Elcho Island,AU-NT
Eldoret International Airport,Eldoret,KE-700
Elefsis Airport,Elefsina,GR-A1
Eleftherios Venizelos International Airport,Athens,GR-A1
Elista Airport,Elista,RU-KL
Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,US-NC
Elkins-Randolph Co-Jennings Randolph Field,Elkins,US-WV
Elko Regional Airport,Elko,US-NV
Ellington Airport,Houston,US-TX
Elliot Lake Municipal Airport,Elliot Lake,CA-ON
Ellsworth Air Force Base,Rapid City,US-SD
Elmendorf Air Force Base,Anchorage,US-AK
Elmira Corning Regional Airport,Elmira/Corning,US-NY
Eloy Alfaro International Airport,Manta,EC-M
Ely Airport Yelland Field,Ely,US-NV
Ely Municipal Airport,Ely,US-MN
Emerald Airport,Emerald,AU-QLD
Emmonak Airport,Emmonak,US-AK
Enfidha - Hammamet International Airport,Enfidha,TN-51
Engeløy Airport,Engeløy,NO-18
Engels Air Base,Saratov,RU-SAR
Enontekio Airport,Enontekio,FI-LL
Enrique Adolfo Jimenez Airport,Colón,PA-3
Enrique Malek International Airport,David,PA-4
Enrique Olaya Herrera Airport,Medellín,CO-ANT
Entebbe International Airport,Kampala,UG-102
Épinal-Mirecourt Airport,Épinal/Mirecourt,FR-M
Eppley Airfield,Omaha,US-NE
Erbil International Airport,Arbil,IQ-AR
Ercan International Airport,Nicosia,CY-02
Erebuni Airport,Yerevan,AM-ER
Erenhot Saiwusu International Airport,Erenhot,CN-15
Erfurt Airport,Erfurt,DE-TH
Erie International Tom Ridge Field,Erie,US-PA
Ermelo Airport,Ermelo,ZA-MP
Ernest A. Love Field,Prescott,US-AZ
Ernesto Cortissoz International Airport,Barranquilla,CO-ATL
Eros Airport,Windhoek,NA-KH
Erzincan Airport,Erzincan,TR-24
Erzurum International Airport,Erzurum,TR-25
Es Senia Airport,Oran,DZ-31
Esbjerg Airport,Esbjerg,DK-83
Escuela Mariscal Sucre Airport,Maracay,VE-D
Esenbo?a International Airport,Ankara,TR-06
Esfahan Shahid Beheshti International Airport,Isfahan,IR-04
Eskilstuna Airport,Eskilstuna,SE-D
Esler Regional Airport,Alexandria,US-LA
Esperance Airport,Esperance,AU-WA
Estevan Airport,Estevan,CA-SK
Étain-Rouvres Air Base,Étain/Rouvres,FR-M
Etimesgut Air Base,Ankara,TR-06
Eugenio Maria De Hostos Airport,Mayaguez,PR-U-A
Eurico de Aguiar Salles Airport,Vitória,BR-ES
EuroAirport Basel-Mulhouse-Freiburg Airport,Bâle/Mulhouse,FR-A
Evanston-Uinta County Airport-Burns Field,Evanston,US-WY
Evansville Regional Airport,Evansville,US-IN
Evelio Javier Airport,San Jose,PH-ANT
Évreux-Fauville (BA 105) Air Base,Évreux/Fauville,FR-Q
Exeter International Airport,Exeter,GB-ENG
Exuma International Airport,George Town,BS-EX
F. D. Roosevelt Airport,Sint Eustatius,BQ-U-A
Faa'a International Airport,Papeete,PF-U-A
Fabio Alberto Leon Bentley Airport,Mitú,CO-VAU
Fair Isle Airport,Fair Isle,GB-SCT
Fairbanks International Airport,Fairbanks,US-AK
Fairchild Air Force Base,Spokane,US-WA
Faisal Air Base,Karachi,PK-SD
Faisalabad International Airport,Faisalabad,PK-PB
Fakfak Airport,Fakfak-Papua Island,ID-PB
Falcone–Borsellino Airport,Palermo,IT-82
Faleolo International Airport,Apia,WS-AA
Fallon Naval Air Station,Fallon,US-NV
Falls International Airport,International Falls,US-MN
Farkhor Air Base,Parkhar,TJ-KT
Farnborough Airport,Farnborough,GB-ENG
Faro Airport,Faro,PT-08
Faro Airport,Faro,CA-YT
Fasa Airport,Fasa,IR-14
Fascene Airport,Nosy Be,MG-D
Fatmawati Soekarno Airport,Bengkulu-Sumatra Island,ID-BE
Fayetteville Regional Grannis Field,Fayetteville,US-NC
Federico Fellini International Airport,Rimini,IT-45
Federico Garcia Lorca Airport,Granada,ES-AN
Fedotovo Naval Air Base,Kipelovo,RU-VLG
Felker Army Air Field,Fort Eustis,US-VA
Felts Field,Spokane,US-WA
Fernando de Noronha Airport,Fernando De Noronha,BR-PE
Fernando Luis Ribas Dominicci Airport,San Juan,PR-U-A
Fete?ti Air Base,Fete?ti,RO-IL
Ficksburg Sentraoes Airport,Ficksburg,ZA-FS
Figari Sud-Corse Airport,Figari Sud-Corse,FR-H
Filippos Airport,Kozani,GR-58
Findlay Airport,Findlay,US-OH
Fitiuta Airport,Fitiuta Village,AS-U-A
Flagstaff Pulliam Airport,Flagstaff,US-AZ
Flamingo International Airport,Kralendijk,BQ-U-A
Flin Flon Airport,Flin Flon,CA-MB
Florence Regional Airport,Florence,US-SC
Florennes Air Base,Florennes,BE-WNA
Flores Airport,Santa Cruz das Flores,PT-20
Florø Airport,Florø,NO-14
Floyd Bennett Memorial Airport,Glens Falls,US-NY
"Foggia ""Gino Lisa"" Airport",Foggia,IT-75
Fond-Du-Lac Airport,Fond-Du-Lac,CA-SK
Forbes Airport,Forbes,AU-NSW
Forestville Airport,Forestville,CA-QC
Forlì Airport,Forlì (FC),IT-45
Formosa Airport,Formosa,AR-P
Fort Albany Airport,Fort Albany,CA-ON
Fort Chipewyan Airport,Fort Chipewyan,CA-AB
Fort Dodge Regional Airport,Fort Dodge,US-IA
Fort Frances Municipal Airport,Fort Frances,CA-ON
Fort Good Hope Airport,Fort Good Hope,CA-NT
Fort Hope Airport,Fort Hope,CA-ON
Fort Lauderdale Executive Airport,Fort Lauderdale,US-FL
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US-FL
Fort Liard Airport,Fort Liard,CA-NT
Fort McMurray Airport,Fort McMurray,CA-AB
Fort Mcpherson Airport,Fort Mcpherson,CA-NT
Fort Nelson Airport,Fort Nelson,CA-BC
Fort Resolution Airport,Fort Resolution,CA-NT
Fort Severn Airport,Fort Severn,CA-ON
Fort Simpson Airport,Fort Simpson,CA-NT
Fort Smith Airport,Fort Smith,CA-NT
Fort Smith Regional Airport,Fort Smith,US-AR
Fort St John Airport,Fort St.John,CA-BC
Fort Stockton Pecos County Airport,Fort Stockton,US-TX
Fort Wayne International Airport,Fort Wayne,US-IN
Fort Worth Alliance Airport,Fort Worth,US-TX
Fort Worth Meacham International Airport,Fort Worth,US-TX
Fort Yukon Airport,Fort Yukon,US-AK
Foshan Shadi Airport,Foshan,CN-44
Foumban Nkounja Airport,Foumban,CM-OU
Four Corners Regional Airport,Farmington,US-NM
Francisco B. Reyes Airport,Coron,PH-PLW
Francisco Bangoy International Airport,Davao City,PH-DAV
Francisco Carle Airport,Jauja,PE-JUN
Francisco de Assis Airport,Juiz De Fora,BR-MG
Francisco de Miranda Airport,La Carlota,VE-M
Francisco De Orellana Airport,Coca,EC-D
Francisco de Sá Carneiro Airport,Porto,PT-13
Francisco Sarabia International Airport,Torreón,MX-COA
Francistown Airport,Francistown,BW-NE
Frank Miloye Milenkowichi–Marília State Airport,Marília,BR-SP
Frank Pais International Airport,Holguin,CU-11
Frank Wiley Field,Miles City,US-MT
Frankfurt am Main Airport,Frankfurt am Main,DE-HE
Frankfurt-Egelsbach Airport,Frankfurt am Main,DE-HE
Frankfurt-Hahn Airport,Frankfurt am Main,DE-RP
Frans Kaisiepo Airport,Biak-Supiori Island,ID-PA
Fredericton Airport,Fredericton,CA-NB
Fresno Yosemite International Airport,Fresno,US-CA
Friedman Memorial Airport,Hailey,US-ID
Friedrichshafen Airport,Friedrichshafen,DE-BW
Fritzlar Airport,Fritzlar,DE-HE
Fua'amotu International Airport,Nuku'alofa,TO-04
Fuerteventura Airport,Fuerteventura Island,ES-CN
Fukue Airport,Goto,JP-42
Fukuoka Airport,Fukuoka,JP-40
Fukushima Airport,Sukagawa,JP-07
Fulton County Airport Brown Field,Atlanta,US-GA
Funafuti International Airport,Funafuti,TV-FUN
Fürstenfeldbruck Airport,Fürstenfeldbruck,DE-BY
Fuyang Xiguan Airport,Fuyang,CN-U-A
Fuyun Koktokay Airport,Fuyun,CN-65
Fuzhou Air Base,Fuzhou,CN-35
Fuzhou Changle International Airport,Fuzhou,CN-35
Gabala International Airport,Gabala,AZ-QAB
Gabès Matmata International Airport,Gabès,TN-81
Gabrovnitsa Air Base,Gabrovnitsa,BG-12
Gachsaran Airport,Gachsaran,IR-18
Gafsa Ksar International Airport,Gafsa,TN-71
Gainesville Regional Airport,Gainesville,US-FL
Gallatin Field,Bozeman,US-MT
Gällivare Airport,Gällivare,SE-BD
Gallup Municipal Airport,Gallup,US-NM
Galway Airport,Galway,IE-G
Gambell Airport,Gambell,US-AK
Gambella Airport,Gambela,ET-GA
Gan International Airport,Gan,MV-01
Gander International Airport,Gander,CA-NL
Gangneung Airport (K-18),Gangneung,KR-42
Gangshan Air Force Base,Gangshan,TW-KHQ
Ganja Airport,Ganja,AZ-GA
Gannan Xiahe Airport,Xiahe,CN-62
Gardabya Airport,Sirt,LY-SR
Garden City Regional Airport,Garden City,US-KS
Garfield County Regional Airport,Rifle,US-CO
Garoua International Airport,Garoua,CM-NO
Gary Chicago International Airport,Gary,US-IN
Gaspé (Michel-Pouliot) Airport,Gaspé,CA-QC
Gaua Island Airport,Gaua Island,VU-TOB
Gautam Buddha Airport,Bhairawa,NP-LU
Gävle Sandviken Airport,Gävle / Sandviken,SE-X
Gaziantep International Airport,Gaziantep,TR-27
Gazipa?a Airport,Gazipa?a,TR-07
Gda?sk Lech Wa??sa Airport,Gda?sk,PL-PM
Geçitkale Air Base,Geçitkale,CY-03
Gelendzhik Airport,Gelendzhik,RU-KDA
Gelephu Airport,Gelephu,BT-31
Gemena Airport,Gemena,CD-EQ
General Abelardo L. Rodríguez International Airport,Tijuana,MX-BCN
General E. Mosconi Airport,Comodoro Rivadavia,AR-U
General Edward Lawrence Logan International Airport,Boston,US-MA
General Enrique Mosconi Airport,Tartagal,AR-A
General Francisco Bermúdez Airport,Carúpano,VE-R
General Francisco J. Mujica International Airport,Morelia,MX-MIC
General Francisco Javier Mina International Airport,Tampico,MX-TAM
General Guadalupe Victoria International Airport,Durango,MX-DUR
General Heriberto Jara International Airport,Veracruz,MX-VER
General Ignacio P. Garcia International Airport,Hermosillo,MX-SON
General José Antonio Anzoategui International Airport,Barcelona,VE-B
General José María Yáñez International Airport,Guaymas,MX-SON
General Juan N Alvarez International Airport,Acapulco,MX-GRO
General Leobardo C. Ruiz International Airport,Zacatecas,MX-ZAC
General Lucio Blanco International Airport,Reynosa,MX-TAM
General Manuel Carlos Piar International Airport,Puerto Ordaz-Ciudad Guayana,VE-F
General Manuel Serrano Airport,Machala,EC-O
General Mariano Escobedo International Airport,Monterrey,MX-NLE
General Mitchell International Airport,Milwaukee,US-WI
General Pedro Jose Mendez International Airport,Ciudad Victoria,MX-TAM
General Pico Airport,General Pico,AR-L
General Rafael Buelna International Airport,Mazatlán,MX-SIN
General Roberto Fierro Villalobos International Airport,Chihuahua,MX-CHH
General Rodolfo Sánchez Taboada International Airport,Mexicali,MX-BCN
General Santos International Airport,General Santos,PH-SCO
General Servando Canales International Airport,Matamoros,MX-TAM
General Ulpiano Paez Airport,Salinas,EC-G
General Urquiza Airport,Parana,AR-E
General Wayne A. Downing Peoria International Airport,Peoria,US-IL
General WM J Fox Airfield,Lancaster,US-CA
Geneva Cointrin International Airport,Geneva,CH-GE
Genoa Cristoforo Colombo Airport,Genova,IT-42
George Airport,George,ZA-WC
George Best Belfast City Airport,Belfast,GB-NIR
George Bush Intercontinental Houston Airport,Houston,US-TX
George F. L. Charles Airport,Castries,LC-02
George Town Airport,George Town,BS-EX
Gerald R. Ford International Airport,Grand Rapids,US-MI
Geraldton Airport,Geraldton,AU-WA
Geraldton Greenstone Regional Airport,Geraldton,CA-ON
Gerardo Tobar López Airport,Buenaventura,CO-VAC
German Olano Air Base,La Dorada,CO-CUN
German Olano Airport,Puerto Carreño,CO-VID
Gerrard Smith International Airport,Cayman Brac,KY-U-A
Getafe Air Base,Getafe,ES-M
Ghadames East Airport,Ghadames,LY-NL
Ghat Airport,Ghat,LY-GT
Ghedi Air Base,Ghedi,IT-25
Gia Lam Air Base,Hanoi,VN-15
Gibraltar Airport,Gibraltar,GI-U-A
Gifu Airport,Gifu,JP-21
Gilgit Airport,Gilgit,PK-NA
Gillam Airport,Gillam,CA-MB
Gillette Campbell County Airport,Gillette,US-WY
Gilze Rijen Air Base,Breda,NL-NB
Gimhae International Airport,Busan,KR-26
Gimli Industrial Park Airport,Gimli,CA-MB
Gimpo International Airport,Seoul,KR-11
Gioia Del Colle Air Base,Gioia Del Colle (BA),IT-75
Girona Airport,Girona,ES-GE
Girua Airport,Popondetta,PG-NPP
Gisborne Airport,Gisborne,NZ-GIS
Gisenyi Airport,Gisenyi,RW-04
Gissar Air Base,Dushanbe,TJ-RR
Gjadër Air Base,Gjadër,AL-08
Gjoa Haven Airport,Gjoa Haven,CA-NU
Glacier Park International Airport,Kalispell,US-MT
Gladstone Airport,Gladstone,AU-QLD
Glasgow International Airport,Glasgow,GB-SCT
Glasgow Prestwick Airport,Glasgow,GB-SCT
Glentanner Airport,Glentanner Station,NZ-CAN
Gloucestershire Airport,Staverton,GB-ENG
Gobernador Castello Airport,Viedma / Carmen de Patagones,AR-R
Gobernador Horacio Guzman International Airport,San Salvador de Jujuy,AR-Y
Gode Airport,Gode,ET-SO
Goderich Airport,Goderich,CA-ON
Godman Army Air Field,Fort Knox,US-KY
Godofredo P. Ramos Airport,Malay,PH-AKL
Gods Lake Narrows Airport,Gods Lake Narrows,CA-MB
Gods River Airport,Gods River,CA-MB
Godthaab / Nuuk Airport,Nuuk,GL-U-A
Gold Coast Airport,Gold Coast,AU-QLD
Golden Airport,Golden,CA-BC
Golden Triangle Regional Airport,Columbus/W Point/Starkville,US-MS
Golfito Airport,Golfito,CR-P
Golmud Airport,Golmud,CN-63
Golog Maqin Airport,Golog,CN-63
Goloson International Airport,La Ceiba,HN-AT
Goma International Airport,Goma,CD-NK
Gombe Lawanti International Airport,Gombe,NG-GO
Gomel Airport,Gomel,BY-HO
Gomez Nino Apiay Air Base,Apiay,CO-MET
Gonder Airport,Gondar,ET-AM
Goose Bay Airport,Goose Bay,CA-NL
Gorakhpur Airport,Gorakhpur,IN-UP
Gore Bay Manitoulin Airport,Gore Bay,CA-ON
Gorgan Airport,Gorgan,IR-27
Gorna Oryahovitsa Airport,Gorna Oryahovitsa,BG-04
Gorno-Altaysk Airport,Gorno-Altaysk,RU-AL
Goroka Airport,Goronka,PG-EHG
Gostomel Airport,Kiev,UA-32
Gothenburg City Airport,Gothenburg,SE-Q
Gothenburg-Landvetter Airport,Gothenburg,SE-Q
Gove Airport,Nhulunbuy,AU-NT
Governador Aluízio Alves International Airport,Natal,BR-RN
Governador Jorge Teixeira de Oliveira Airport,Porto Velho,BR-RO
Governador José Richa Airport,Londrina,BR-PR
Governor's Harbour Airport,Governor's Harbour,BS-GH
Goya Airport,Goya,AR-W
Grabtsevo Airport,Kaluga,RU-KLU
Graciosa Airport,Santa Cruz da Graciosa,PT-20
Graf Ignatievo Air Base,Graf Ignatievo,BG-16
Gral. Bernardo O´Higgins Airport,Chillan,CL-BI
Gran Canaria Airport,Gran Canaria Island,ES-CN
Grand Bahama International Airport,Freeport,BS-FP
Grand Canyon National Park Airport,Grand Canyon,US-AZ
Grand Central Airport,Midrand,ZA-GT
Grand Forks Air Force Base,Grand Forks,US-ND
Grand Forks Airport,Grand Forks,CA-BC
Grand Forks International Airport,Grand Forks,US-ND
Grand Junction Regional Airport,Grand Junction,US-CO
Grand Strand Airport,North Myrtle Beach,US-SC
Grande Prairie Airport,Grande Prairie,CA-AB
Grant County International Airport,Moses Lake,US-WA
Granville Airport,Granville,FR-P
Gray Army Air Field,Fort Lewis/Tacoma,US-WA
Graz Airport,Graz,AT-6
Grazzanise Air Base,Caserta,IT-72
Great Falls International Airport,Great Falls,US-MT
Greater Binghamton/Edwin A Link field,Binghamton,US-NY
Greater Kankakee Airport,Kankakee,US-IL
Greater Moncton International Airport,Moncton,CA-NB
Greater Rochester International Airport,Rochester,US-NY
Greenbrier Valley Airport,Lewisburg,US-WV
Greenville Downtown Airport,Greenville,US-SC
Greenville Spartanburg International Airport,Greenville,US-SC
Greenwood–Leflore Airport,Greenwood,US-MS
Gregorio Luperon International Airport,Puerto Plata,DO-18
Grenchen Airport,Grenchen,CH-SO
Grenoble-Isère Airport,Grenoble/Saint-Geoirs,FR-V
Grider Field,Pine Bluff,US-AR
Griffiss International Airport,Rome,US-NY
Griffith Airport,Griffith,AU-NSW
Grise Fiord Airport,Grise Fiord,CA-NU
Grissom Air Reserve Base,Peru,US-IN
Groote Eylandt Airport,Groote Eylandt,AU-NT
Grootfontein Airport,Grootfontein,NA-OD
Grosseto Air Base,Grosetto,IT-52
Groton New London Airport,Groton (New London),US-CT
Grozny North Airport,Grozny,RU-CE
Guajará-Mirim Airport,Guajará-Mirim,BR-RO
Gualeguaychu Airport,Gualeguaychu,AR-E
Guanare Airport,Guanare,VE-P
Guangyuan Airport,Guangyuan,CN-51
Guangzhou Baiyun International Airport,Guangzhou,CN-44
Guangzhou MR Air Base,Guanghua,CN-42
Guapiles Airport,Pococi,CR-L
Guarani International Airport,Ciudad del Este,PY-10
Guararapes - Gilberto Freyre International Airport,Recife,BR-PE
Guaratinguetá Airport,Guaratinguetá,BR-SP
Guardiamarina Zañartu Airport,Puerto Williams,CL-MA
Guarulhos - Governador André Franco Montoro International Airport,São Paulo,BR-SP
Gudauta Air Base,Gudauta,GE-AB
Guemar Airport,Guemar,DZ-39
Guernsey Airport,Saint Peter Port,GG-U-A
Guidonia Air Base,Guidonia,IT-62
Guilin Liangjiang International Airport,Guilin City,CN-45
Guillermo León Valencia Airport,Popayán,CO-CAU
Gulfport Biloxi International Airport,Gulfport,US-MS
Gu-Lian Airport,Mohe,CN-23
Gulkana Airport,Gulkana,US-AK
Gulu Airport,Gulu,UG-304
Gurayat Domestic Airport,Gurayat,SA-08
Gurney Airport,Gurney,PG-MBA
Gusau Airport,Gusau,NG-ZA
Gustaf III Airport,Gustavia,BL-U-A
Gustavo Artunduaga Paredes Airport,Florencia,CO-CAQ
Gustavo Rizo Airport,Baracoa,CU-14
Gustavo Rojas Pinilla International Airport,San Andrés,CO-SAP
Gustavo Vargas Airport,Tame,CO-ARA
Gustavus Airport,Gustavus,US-AK
Guymon Municipal Airport,Guymon,US-OK
Guyuan Liupanshan Airport,Guyuan,CN-64
Gvardeyskoe Air Base,Sarabuz,UA-43
Gwadar International Airport,Gwadar,PK-BA
Gwalior Airport,Gwalior,IN-MP
Gwangju Airport,Gwangju,KR-29
Gy?r-Pér International Airport,Gy?r,HU-GS
Gyumri Shirak Airport,Gyumri,AM-SH
Hachijojima Airport,Hachijojima,JP-13
Haeju Airfield,Haeju,KP-05
Hagerstown Regional Richard A Henson Field,Hagerstown,US-MD
Haifa International Airport,Haifa,IL-HA
Haikou Meilan International Airport,Haikou,CN-46
Ha'il Airport,Ha'il,SA-06
Haines Airport,Haines,US-AK
Haines Junction Airport,Haines Junction,CA-YT
Hakkari Yüksekova Airport,Hakkari,TR-30
Hakodate Airport,Hakodate,JP-01
HAL Airport,Bangalore,IN-KA
Halifax / Stanfield International Airport,Halifax,CA-NS
Halim Perdanakusuma International Airport,Jakarta,ID-JK
Hall Beach Airport,Hall Beach,CA-NU
Halli Airport,Halli / Kuorevesi,FI-LS
Halmstad Airport,Halmstad,SE-N
Hamad International Airport,Doha,QA-DA
Hamadan Air Base,Hamadan,IR-24
Hamadan Airport,Hamadan,IR-24
Hamburg Airport,Hamburg,DE-HH
Hamburg-Finkenwerder Airport,Hamburg,DE-HH
Hami Airport,Hami,CN-65
Hamilton International Airport,Hamilton,NZ-WKO
Hamilton Island Airport,Hamilton Island,AU-QLD
Hammerfest Airport,Hammerfest,NO-20
Hana Airport,Hana,US-HI
Hancock County-Bar Harbor Airport,Bar Harbor,US-ME
Handan Airport,Handan,CN-42
Hang Nadim International Airport,Batam Island,ID-RI
Hangzhou Xiaoshan International Airport,Hangzhou,CN-33
Hanimaadhoo Airport,Haa Dhaalu Atoll,MV-23
Hannover Airport,Hannover,DE-NI
Harar Meda Airport,Debre Zeyit,ET-OR
Harare International Airport,Harare,ZW-HA
Harrisburg International Airport,Harrisburg,US-PA
Harrismith Airport,Harrismith,ZA-FS
"Harstad/Narvik Airport, Evenes",Evenes,NO-18
Hartford Brainard Airport,Hartford,US-CT
Hartsfield Jackson Atlanta International Airport,Atlanta,US-GA
Hasanuddin International Airport,Ujung Pandang-Celebes Island,ID-SN
Hashimara Air Force Station,Jalpaiguri,IN-WB
Haskovo Malevo Airport,Haskovo,BG-26
Hassan I Airport,El Aaiún,EH-U-A
Hat Yai International Airport,Hat Yai,TH-90
Hatay Airport,Hatay,TR-31
Hato International Airport,Willemstad,CW-U-A
Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg,US-MS
Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,US-MS
Haugesund Airport,Karmøy,NO-11
Haverfordwest Airport,Haverfordwest,GB-WLS
Havre City County Airport,Havre,US-MT
Havre St Pierre Airport,Havre St-Pierre,CA-QC
Hawarden Airport,Hawarden,GB-WLS
Hawke's Bay Airport,Napier,NZ-HKB
Hay River / Merlyn Carter Airport,Hay River,CA-NT
Hays Regional Airport,Hays,US-KS
Hearst René Fontaine Municipal Airport,Hearst,CA-ON
Hechi Jinchengjiang Airport,Hechi,CN-45
Hector International Airport,Fargo,US-ND
Hedong Airport,Yinchuan,CN-64
Hefei Luogang International Airport,Hefei,CN-34
Heho Airport,Heho,MM-17
Heihe Airport,Heihe,CN-23
Helena Regional Airport,Helena,US-MT
Helsinki Malmi Airport,Helsinki,FI-ES
Helsinki Vantaa Airport,Helsinki,FI-ES
Henderson Field,Sand Island,UM-71
Hendrik Van Eck Airport,Phalaborwa,ZA-NP
Hengchun Airport,Hengchung,TW-PIF
Henri Coand? International Airport,Bucharest,RO-B
Henry E Rohlsen Airport,Christiansted,VI-U-A
Henry Post Army Air Field (Fort Sill),Fort Sill,US-OK
Heraklion International Nikos Kazantzakis Airport,Heraklion,GR-91
Hercílio Luz International Airport,Florianópolis,BR-SC
Heriberto Gíl Martínez Airport,Tuluá,CO-VAC
Heringsdorf Airport,Heringsdorf,DE-MV
Hermanos Ameijeiras Airport,Las Tunas,CU-10
Hermanos Serdán International Airport,Puebla,MX-PUE
Hermes Quijada International Airport,Rio Grande,AR-V
Héroes De Malvinas Airport,Tandil,AR-B
Hervey Bay Airport,Hervey Bay,AU-QLD
Hewanorra International Airport,Vieux Fort,LC-11
Heydar Aliyev International Airport,Baku,AZ-BA
Hickory Regional Airport,Hickory,US-NC
Hierro Airport,El Hierro Island,ES-CN
High Level Airport,High Level,CA-AB
Hihifo Airport,Wallis Island,WF-U-A
Hill Air Force Base,Ogden,US-UT
Hilo International Airport,Hilo,US-HI
Hingurakgoda Air Force Base,Polonnaruwa Town,LK-7
Hinterstoisser Air Base,Zeltweg,AT-6
Hiroshima Airport,Hiroshima,JP-34
Hiva Oa-Atuona Airport,Hiva Oa Island,PF-U-A
Hobart International Airport,Hobart,AU-TAS
Hobart Regional Airport,Hobart,US-OK
Hodeidah International Airport,Hodeida,YE-HU
Hof-Plauen Airport,Hof,DE-BY
Holloman Air Force Base,Alamogordo,US-NM
Holy Cross Airport,Holy Cross,US-AK
Homer Airport,Homer,US-AK
Homestead ARB Airport,Homestead,US-FL
Homey (Area 51) Airport,Groom Lake,US-NV
Hongyuan Airport,Aba,CN-51
Honiara International Airport,Honiara,SB-CT
Hood Airport,Masterton,NZ-WGN
Hood Army Air Field,Fort Hood(Killeen),US-TX
Hooper Bay Airport,Hooper Bay,US-AK
Hope Airport,Hope,CA-BC
Hopedale Airport,Hopedale,CA-NL
Horn Island Airport,Horn Island,AU-QLD
Hornafjörður Airport,Höfn,IS-8
Hornepayne Municipal Airport,Hornepayne,CA-ON
Horta Airport,Horta,PT-20
Hosea Kutako International Airport,Windhoek,NA-KH
Hotan Airport,Hotan,CN-65
Houari Boumediene Airport,Algiers,DZ-35
Houghton County Memorial Airport,Hancock,US-MI
Houlton International Airport,Houlton,US-ME
Hrodna Airport,Hrodna,BY-HR
Hsinchu Air Base,Hsinchu City,TW-HSZ
Hua Hin Airport,Hua Hin,TH-76
Huahine-Fare Airport,Fare,PF-U-A
Huairen Air Base,Datong,CN-14
Hualien Airport,Hualien City,TW-HUA
Huangyan Luqiao Airport,Huangyan,CN-33
Huatugou Airport,Mengnai,CN-63
Hubli Airport,Hubli,IN-KA
Hugo Cantergiani Regional Airport,Caxias Do Sul,BR-RS
Huizhou Airport,Huizhou,CN-44
Humberside Airport,Grimsby,GB-ENG
Hunt Field,Lander,US-WY
Hunter Army Air Field,Savannah,US-GA
Huntsville International Carl T Jones Field,Huntsville,US-AL
Huntsville Regional Airport,Huntsville,US-TX
Hurghada International Airport,Hurghada,EG-BA
Hurlburt Field,Mary Esther,US-FL
Huron Regional Airport,Huron,US-SD
Huronia Airport,Midland,CA-ON
Húsavík Airport,Húsavík,IS-6
Husein Sastranegara International Airport,Bandung-Java Island,ID-JB
Huslia Airport,Huslia,US-AK
Hutchinson Municipal Airport,Hutchinson,US-KS
Hwange National Park Airport,Hwange,ZW-MN
Hwangju Airbase,Hwangju,KP-06
Hwangsuwon Airbase,Kimhyonggwon,KP-10
Hyakuri Airport,Omitama,JP-08
Ianca Air Base,Ianca,RO-BR
Ia?i Airport,Ia?i,RO-IS
Ibadan Airport,Ibadan,NG-OY
Iberia Airport,Iberia,PE-MDD
Ibiza Airport,Ibiza,ES-PM
Ibn Batouta Airport,Tangier,MA-TNG
Idaho Falls Regional Airport,Idaho Falls,US-ID
Ie Jima Airport,Ie,JP-47
Igarka Airport,Igarka,RU-KYA
I?d?r Airport,I?d?r,TR-76
Igloolik Airport,Igloolik,CA-NU
Ignace Municipal Airport,Ignace,CA-ON
Ignacio Agramonte International Airport,Camaguey,CU-09
Ignatyevo Airport,Blagoveschensk,RU-AMU
Igor I Sikorsky Memorial Airport,Bridgeport,US-CT
Iki Airport,Iki,JP-42
Il Caravaggio International Airport,Bergamo,IT-25
Ilam Airport,Ilam,IR-05
Île Art - Waala Airport,Waala,NC-U-A
Île des Pins Airport,Île des Pins,NC-U-A
Île d'Yeu Airport,Île d'Yeu,FR-R
Îles-de-la-Madeleine Airport,Îles-de-la-Madeleine,CA-QC
Ilford Airport,Ilford,CA-MB
Iliamna Airport,Iliamna,US-AK
Illizi Takhamalt Airport,Illizi,DZ-33
Ilo Airport,Ilo,PE-MOQ
Iloilo International Airport,Iloilo City,PH-ILI
Ilopango International Airport,San Salvador,SV-SS
Ilorin International Airport,Ilorin,NG-KW
Imam Khomeini International Airport,Tehran,IR-07
Imperial County Airport,Imperial,US-CA
Imphal Airport,Imphal,IN-MN
In Aménas Airport,Aménas,DZ-33
In Salah Airport,In Salah,DZ-11
